prompt,completion
"Do the two product descriptions refer to the same real-world product? Entity 1: 'web caching for database applications with oracle web cache; jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu; sigmod conference; 2002'. Entity 2: 'form-based proxy caching for database-backed web sites; qiong luo , jeffrey f. naughton; very large data bases; 2001'.",No
Do the two product descriptions refer to the same real-world product? Entity 1: 'oracle industrial exhibit; amy pogue; vldb; 1998'. Entity 2: 'objectivity industrial exhibit; objectivity; very large data bases; 1998'.,No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'extracting large-scale knowledge bases from the web; andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan; vldb; 1999'. Entity 2: 'amalgamating knowledge bases; v. s. subrahmanian; acm transactions on database systems ( tods ); 1994'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'efficient optimistic concurrency control using loosely synchronized clocks; barbara liskov , atul adya , robert gruber , umesh maheshwari; sigmod conference; 1995'. Entity 2: 'efficient optimistic concurrency control using loosely synchronized clocks; atul adya , robert gruber , barbara liskov , umesh maheshwari; international conference on management of data; 1995'.",Yes
"Do the two product descriptions refer to the same real-world product? Entity 1: 'odefs : a file system interface to an object-oriented database; narain h. gehani , william d. roome , h. v. jagadish; vldb; 1994'. Entity 2: 'unisql/x unified relational and object-oriented database system; won kim; international conference on management of data; 1994'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'emergent semantics and the multimedia semantic web; william i. grosky , farshad fotouhi , d. v. sreenath; sigmod record; 2002'. Entity 2: 'emergent semantics and the multimedia semantic web; w. i. grosky , d. v. sreenath , f. fotouhi; acm sigmod record; 2002'.",Yes
"Do the two product descriptions refer to the same real-world product? Entity 1: 'dwms : data warehouse management system; narendra mohan; vldb; 1996'. Entity 2: 'strudel : a web site management system; mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu; international conference on management of data; 1997'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'data mining techniques; jiawei han; sigmod conference; 1996'. Entity 2: 'data mining : concepts and techniques by jiawei han and micheline kamber; fernando berzal , nicolf &#225; s mat &#237; n; acm sigmod record; 2002'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'qursed : querying and reporting semistructured data; yannis papakonstantinou , michalis petropoulos , vasilis vassalos; sigmod conference; 2002'. Entity 2: 'extracting schema from semistructured data; svetlozar nestorov , serge abiteboul , rajeev motwani; international conference on management of data; 1998'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'advances in databases and information systems ( adbis ); albertas caplinskas , johann eder , olegas vasilecas; sigmod record; 2002'. Entity 2: 'amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises; amit sheth , robert meersman; acm sigmod record; 2002'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'query unnesting in object-oriented databases; leonidas fegaras; sigmod conference; 1998'. Entity 2: 'calibrating the query optimizer cost model of iro-db , an object-oriented federated database system; georges gardarin , fei sha , zhao-hui tang; very large data bases; 1996'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'data management for pervasive computing; mitch cherniack , stanley b. zdonik , michael j. franklin; vldb; 2001'. Entity 2: 'data management for pervasive computing; mitch cherniack , michael j. franklin , stanley b. zdonik; very large data bases; 2001'.",Yes
"Do the two product descriptions refer to the same real-world product? Entity 1: 'secure transaction processing in firm real-time database systems; binto george , jayant r. haritsa; sigmod conference; 1997'. Entity 2: 'databases and transaction processing : an application-oriented approach; philip m. lewis , arthur bernstein , michael kifer; acm sigmod record; 2002'.",No
Do the two product descriptions refer to the same real-world product? Entity 1: 'declarative updates of relational databases; weidong chen; acm trans . database syst .; 1995'. Entity 2: 'enhanced abstract data types in object-relational databases; praveen seshadri; the vldb journal -- the international journal on very large data bases; 1998'.,No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'a taxonomy for secure object-oriented databases; sebastiaan h. von solms , martin s. olivier; acm trans . database syst .; 1994'. Entity 2: 'a taxonomy for secure object-oriented databases; martin s. olivier , sebastiaan h. von solms; acm transactions on database systems ( tods ); 1994'.",Yes
"Do the two product descriptions refer to the same real-world product? Entity 1: 'what is the data warehousing problem ? ( are materialized views the answer ? ); inderpal singh mumick , ashish gupta; vldb; 1996'. Entity 2: 'algorithms for materialized view design in data warehousing environment; jian yang , kamalakar karlapalem , qing li; very large data bases; 1997'.",No
