Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.95,0.7398843930635838,0.8767123287671232,0.64,0,wdc-fullsize
domain-simple-free (Product),0.9451111111111111,0.7104337631887456,0.8583569405099151,0.606,0,wdc-fullsize
domain-complex-force (Product),0.9466666666666667,0.7183098591549296,0.8693181818181818,0.612,0,wdc-fullsize
domain-simple-force (Product),0.9468888888888889,0.71849234393404,0.8739255014326648,0.61,0,wdc-fullsize
domain-complex-free (Product),0.9665970772442589,0.8350515463917526,0.8901098901098901,0.7864077669902912,0,abt-buy-full
domain-simple-free (Product),0.965553235908142,0.8290155440414507,0.8888888888888888,0.7766990291262136,0,abt-buy-full
domain-complex-force (Product),0.9618997912317327,0.8053333333333333,0.893491124260355,0.7330097087378641,0,abt-buy-full
domain-simple-force (Product),0.9598121085594989,0.7924528301886793,0.8909090909090909,0.7135922330097088,0,abt-buy-full
domain-complex-free (Product),0.959005669428696,0.8008474576271186,0.7941176470588235,0.8076923076923077,0,amazon-google-full
domain-simple-free (Product),0.959005669428696,0.7974137931034483,0.8043478260869565,0.7905982905982906,0,amazon-google-full
domain-complex-force (Product),0.9594417793283908,0.802547770700637,0.7974683544303798,0.8076923076923077,0,amazon-google-full
domain-simple-force (Product),0.9603139991277801,0.8017429193899782,0.8177777777777778,0.7863247863247863,0,amazon-google-full
domain-complex-free (Product),0.9428989751098097,0.6896551724137931,0.7065217391304348,0.6735751295336787,0,walmart-amazon
domain-simple-free (Product),0.9438750610053684,0.684931506849315,0.7267441860465116,0.6476683937823834,0,walmart-amazon
domain-complex-force (Product),0.9438750610053684,0.6796657381615598,0.7349397590361446,0.6321243523316062,0,walmart-amazon
domain-simple-force (Product),0.9404587603709127,0.6494252873563219,0.7290322580645161,0.5854922279792746,0,walmart-amazon
domain-complex-free (Product),0.9862515163768703,0.962800875273523,0.9361702127659575,0.990990990990991,0,dblp-acm
domain-simple-free (Product),0.9854427820460978,0.9607843137254902,0.930379746835443,0.9932432432432432,0,dblp-acm
domain-complex-force (Product),0.9862515163768703,0.9626373626373627,0.9399141630901288,0.9864864864864865,0,dblp-acm
domain-simple-force (Product),0.9862515163768703,0.9626373626373627,0.9399141630901288,0.9864864864864865,0,dblp-acm
domain-complex-free (Product),0.9454893765238593,0.8559595029912563,0.843155031731641,0.8691588785046729,0,dblp-scholar
domain-simple-free (Product),0.9416579588993382,0.843238184370613,0.8444236176194939,0.8420560747663551,0,dblp-scholar
domain-complex-force (Product),0.9442702890978754,0.8506069094304388,0.8498134328358209,0.8514018691588785,0,dblp-scholar
domain-simple-force (Product),0.9378265412748171,0.8310459062943681,0.8418024928092043,0.8205607476635514,0,dblp-scholar
