Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.9737161342498989,0.9280177187153932,0.9128540305010894,0.9436936936936937,0,dblp-acm
domain-simple-free (Product),0.9162959967650627,0.7973684210526316,0.9588607594936709,0.6824324324324325,140,dblp-acm
domain-complex-force (Product),0.9611807521229276,0.8857142857142857,0.9393939393939394,0.8378378378378378,0,dblp-acm
domain-simple-force (Product),0.9264051758997169,0.7493112947658402,0.9645390070921985,0.6126126126126126,0,dblp-acm
domain-complex-free (Product),0.9385231626610937,0.8572671888598782,0.8021172638436482,0.9205607476635514,25,dblp-scholar
domain-simple-free (Product),0.8268895855102751,0.5982694684796045,0.8832116788321168,0.4523364485981308,888,dblp-scholar
domain-complex-force (Product),0.9284221525600836,0.7884714359238292,0.8774341351660939,0.7158878504672898,0,dblp-scholar
domain-simple-force (Product),0.88662486938349,0.595903165735568,0.8872458410351202,0.4485981308411215,0,dblp-scholar
domain-complex-free (Product),0.9533333333333334,0.8104089219330854,0.7569444444444444,0.872,12,wdc-fullsize
domain-simple-free (Product),0.93,0.7756813417190775,0.8149779735682819,0.74,183,wdc-fullsize
domain-complex-force (Product),0.958,0.8096676737160121,0.8154158215010142,0.804,0,wdc-fullsize
domain-simple-force (Product),0.9524444444444444,0.7688984881209503,0.8356807511737089,0.712,0,wdc-fullsize
domain-complex-free (Product),0.9765135699373695,0.9036697247706422,0.8565217391304348,0.9563106796116505,3,abt-buy-full
domain-simple-free (Product),0.9671189979123174,0.8900255754475703,0.9405405405405406,0.8446601941747572,43,abt-buy-full
domain-complex-force (Product),0.9806889352818372,0.9095354523227384,0.916256157635468,0.9029126213592233,0,abt-buy-full
domain-simple-force (Product),0.9765135699373695,0.8849104859335039,0.9351351351351351,0.8398058252427184,0,abt-buy-full
domain-complex-free (Product),0.8735281290885303,0.5856515373352855,0.44543429844098,0.8547008547008547,10,amazon-google-full
domain-simple-free (Product),0.8329699084169211,0.5793357933579336,0.5097402597402597,0.6709401709401709,205,amazon-google-full
domain-complex-force (Product),0.9036197121674662,0.6129597197898424,0.5192878338278932,0.7478632478632479,0,amazon-google-full
domain-simple-force (Product),0.910161360662887,0.596078431372549,0.5507246376811594,0.6495726495726496,0,amazon-google-full
domain-complex-free (Product),0.8940946803318692,0.625,0.4768392370572207,0.9067357512953368,8,walmart-amazon
domain-simple-free (Product),0.8404099560761347,0.62004662004662,0.5635593220338984,0.689119170984456,210,walmart-amazon
domain-complex-force (Product),0.9160566129819424,0.6340425531914894,0.5379061371841155,0.772020725388601,0,walmart-amazon
domain-simple-force (Product),0.9160566129819424,0.5825242718446602,0.547945205479452,0.6217616580310881,0,walmart-amazon
