Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.9075447012647188,0.345679012345679,0.6222222222222222,0.23931623931623933,0,amazon-google-full
domain-simple-free (Product),0.9044919319668556,0.35398230088495575,0.5714285714285714,0.2564102564102564,0,amazon-google-full
domain-complex-force (Product),0.9062363715656345,0.45012787723785164,0.5605095541401274,0.37606837606837606,0,amazon-google-full
domain-simple-force (Product),0.9088530309638029,0.45144356955380577,0.5850340136054422,0.36752136752136755,0,amazon-google-full
domain-complex-free (Product),0.8922222222222222,0.12296564195298372,0.6415094339622641,0.068,0,wdc-fullsize
domain-simple-free (Product),0.892,0.15331010452961671,0.5945945945945946,0.088,0,wdc-fullsize
domain-complex-force (Product),0.8946666666666667,0.24281150159744408,0.6031746031746031,0.152,0,wdc-fullsize
domain-simple-force (Product),0.8946666666666667,0.2305194805194805,0.6120689655172413,0.142,0,wdc-fullsize
domain-complex-free (Product),0.9039665970772442,0.2396694214876033,0.8055555555555556,0.1407766990291262,0,abt-buy-full
domain-simple-free (Product),0.9117954070981211,0.33725490196078434,0.8775510204081632,0.2087378640776699,0,abt-buy-full
domain-complex-force (Product),0.9196242171189979,0.45774647887323944,0.8333333333333334,0.3155339805825243,0,abt-buy-full
domain-simple-force (Product),0.912839248434238,0.3927272727272727,0.782608695652174,0.2621359223300971,0,abt-buy-full
domain-complex-free (Product),0.9233772571986335,0.40304182509505704,0.7571428571428571,0.27461139896373055,0,walmart-amazon
domain-simple-free (Product),0.913128355295266,0.40268456375838924,0.5714285714285714,0.31088082901554404,0,walmart-amazon
domain-complex-force (Product),0.9023914104441191,0.4444444444444444,0.47904191616766467,0.41450777202072536,0,walmart-amazon
domain-simple-force (Product),0.8979990239141045,0.42424242424242425,0.45294117647058824,0.39896373056994816,0,walmart-amazon
domain-complex-free (Product),0.9615116684082201,0.8904313336638572,0.9482576557550159,0.8392523364485981,0,dblp-scholar
domain-simple-free (Product),0.9592476489028213,0.8841584158415842,0.94,0.8345794392523365,0,dblp-scholar
domain-complex-force (Product),0.9615116684082201,0.8920371275036639,0.9344933469805528,0.8532710280373832,0,dblp-scholar
domain-simple-force (Product),0.9622082897944967,0.8960229995208433,0.9193706981317601,0.8738317757009346,0,dblp-scholar
domain-complex-free (Product),0.985847149211484,0.9607182940516273,0.9574944071588367,0.963963963963964,0,dblp-acm
domain-simple-free (Product),0.9826122118883946,0.9523809523809523,0.9368191721132898,0.9684684684684685,0,dblp-acm
domain-complex-force (Product),0.9749292357460574,0.9333333333333333,0.8930041152263375,0.9774774774774775,0,dblp-acm
domain-simple-force (Product),0.9708855640921957,0.9230769230769231,0.8780487804878049,0.972972972972973,0,dblp-acm
