Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.6703009158307893,0.3793103448275862,0.2347560975609756,0.9871794871794872,0,amazon-google-full
domain-simple-free (Product),0.773222852158744,0.45147679324894513,0.29971988795518206,0.9145299145299145,0,amazon-google-full
domain-complex-force (Product),0.5425207152202355,0.3089108910891089,0.18266978922716628,1.0,2,amazon-google-full
domain-simple-force (Product),0.546445704317488,0.3138586956521739,0.18659127625201938,0.9871794871794872,30,amazon-google-full
domain-complex-free (Product),0.8686666666666667,0.6144814090019569,0.45595353339787026,0.942,0,wdc-fullsize
domain-simple-free (Product),0.9157777777777778,0.6984884645982498,0.5799207397622193,0.878,0,wdc-fullsize
domain-complex-force (Product),0.8197777777777778,0.5410299943406904,0.3772691397000789,0.956,0,wdc-fullsize
domain-simple-force (Product),0.8406666666666667,0.5717703349282297,0.40784982935153585,0.956,1,wdc-fullsize
domain-complex-free (Product),0.8053235908141962,0.5224071702944942,0.35478260869565215,0.9902912621359223,0,abt-buy-full
domain-simple-free (Product),0.9274530271398748,0.7401869158878505,0.601823708206687,0.9611650485436893,0,abt-buy-full
domain-complex-force (Product),0.6837160751565762,0.4035433070866142,0.25308641975308643,0.9951456310679612,0,abt-buy-full
domain-simple-force (Product),0.7437369519832986,0.45383759733036705,0.2943722943722944,0.9902912621359223,0,abt-buy-full
domain-complex-free (Product),0.7333681644026472,0.57054698457223,0.40761523046092185,0.9504672897196261,0,dblp-scholar
domain-simple-free (Product),0.7746429815395333,0.6045510455104551,0.45050412465627865,0.9186915887850468,13,dblp-scholar
domain-complex-force (Product),0.6475095785440613,0.508991008991009,0.34730743012951604,0.9523364485981308,67,dblp-scholar
domain-simple-force (Product),0.502438174851968,0.4635369188696445,0.3065099457504521,0.9504672897196261,534,dblp-scholar
domain-complex-free (Product),0.7856854023453296,0.6225071225071225,0.4552083333333333,0.9842342342342343,0,dblp-acm
domain-simple-free (Product),0.8208653457339264,0.663109756097561,0.5011520737327189,0.9797297297297297,1,dblp-acm
domain-complex-force (Product),0.7137080469065912,0.5537873965626989,0.385980479148181,0.9797297297297297,11,dblp-acm
domain-simple-force (Product),0.5681358673675697,0.5017261219792866,0.3369397217928903,0.9819819819819819,207,dblp-acm
