Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.8560837331007414,0.5416666666666666,0.4012345679012346,0.8333333333333334,0,amazon-google-full
domain-simple-free (Product),0.8682948102921937,0.5758426966292135,0.42887029288702927,0.8760683760683761,0,amazon-google-full
domain-complex-force (Product),0.7876144788486699,0.470076169749728,0.31532846715328466,0.9230769230769231,0,amazon-google-full
domain-simple-force (Product),0.8116005233318796,0.5068493150684932,0.34579439252336447,0.9487179487179487,0,amazon-google-full
domain-complex-free (Product),0.9451111111111111,0.7517587939698492,0.7555555555555555,0.748,0,wdc-fullsize
domain-simple-free (Product),0.9466666666666667,0.757085020242915,0.7663934426229508,0.748,0,wdc-fullsize
domain-complex-force (Product),0.9384444444444444,0.7550839964633068,0.6767036450079239,0.854,0,wdc-fullsize
domain-simple-force (Product),0.9424444444444444,0.7577174929840973,0.7117750439367311,0.81,0,wdc-fullsize
domain-complex-free (Product),0.9681628392484343,0.8486352357320099,0.868020304568528,0.8300970873786407,0,abt-buy-full
domain-simple-free (Product),0.9718162839248434,0.864321608040201,0.8958333333333334,0.8349514563106796,0,abt-buy-full
domain-complex-force (Product),0.958768267223382,0.8271334792122538,0.7529880478087649,0.9174757281553398,0,abt-buy-full
domain-simple-force (Product),0.9618997912317327,0.8344671201814059,0.7829787234042553,0.8932038834951457,0,abt-buy-full
domain-complex-free (Product),0.9033674963396779,0.610236220472441,0.49206349206349204,0.8031088082901554,0,walmart-amazon
domain-simple-free (Product),0.890190336749634,0.576271186440678,0.4526627218934911,0.7927461139896373,0,walmart-amazon
domain-complex-force (Product),0.8418740849194729,0.5207100591715976,0.36438923395445133,0.9119170984455959,0,walmart-amazon
domain-simple-force (Product),0.8696925329428989,0.563011456628478,0.41148325358851673,0.8911917098445595,0,walmart-amazon
domain-complex-free (Product),0.7946708463949843,0.607130956347884,0.4717762817193164,0.8514018691588785,0,dblp-scholar
domain-simple-free (Product),0.6452455590386625,0.494164390365036,0.33648968549205277,0.9299065420560748,0,dblp-scholar
domain-complex-force (Product),0.586032741205155,0.45343757185559896,0.30070143336383043,0.9214953271028037,0,dblp-scholar
domain-simple-force (Product),0.5404040404040404,0.43454038997214484,0.2819015846538782,0.9476635514018692,0,dblp-scholar
domain-complex-free (Product),0.8427011726647796,0.6870474658085277,0.5344180225281602,0.9617117117117117,0,dblp-acm
domain-simple-free (Product),0.6987464617873028,0.5421020282728949,0.3727810650887574,0.9932432432432432,0,dblp-acm
domain-complex-force (Product),0.6364739183178326,0.4918032786885246,0.3283018867924528,0.9797297297297297,0,dblp-acm
domain-simple-force (Product),0.5835018196522442,0.4607329842931937,0.30013642564802184,0.990990990990991,0,dblp-acm
