Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.8839947666812037,0.5283687943262412,0.45151515151515154,0.6367521367521367,0,amazon-google-full
domain-simple-free (Product),0.8918447448757086,0.5303030303030303,0.47619047619047616,0.5982905982905983,0,amazon-google-full
domain-complex-force (Product),0.8569559529001308,0.5431754874651811,0.40289256198347106,0.8333333333333334,0,amazon-google-full
domain-simple-force (Product),0.8735281290885303,0.5619335347432024,0.43457943925233644,0.7948717948717948,0,amazon-google-full
domain-complex-free (Product),0.9404444444444444,0.7015590200445434,0.7914572864321608,0.63,0,wdc-fullsize
domain-simple-free (Product),0.9413333333333334,0.6993166287015945,0.8121693121693122,0.614,0,wdc-fullsize
domain-complex-force (Product),0.9471111111111111,0.767578125,0.75,0.786,0,wdc-fullsize
domain-simple-force (Product),0.9455555555555556,0.7429171038824763,0.7814569536423841,0.708,0,wdc-fullsize
domain-complex-free (Product),0.9681628392484343,0.8346883468834688,0.9447852760736196,0.7475728155339806,0,abt-buy-full
domain-simple-free (Product),0.9603340292275574,0.7790697674418605,0.9710144927536232,0.6504854368932039,0,abt-buy-full
domain-complex-force (Product),0.9707724425887265,0.8620689655172413,0.875,0.8495145631067961,0,abt-buy-full
domain-simple-force (Product),0.9718162839248434,0.859375,0.9269662921348315,0.8009708737864077,0,abt-buy-full
domain-complex-free (Product),0.9214250854075159,0.5944584382871536,0.5784313725490197,0.6113989637305699,0,walmart-amazon
domain-simple-free (Product),0.9224011713030746,0.5954198473282443,0.585,0.6062176165803109,0,walmart-amazon
domain-complex-force (Product),0.8999511957052221,0.6019417475728155,0.4813664596273292,0.8031088082901554,0,walmart-amazon
domain-simple-force (Product),0.9072718399219132,0.6008403361344538,0.5053003533568905,0.7409326424870466,0,walmart-amazon
domain-complex-free (Product),0.8636363636363636,0.6680796947859262,0.6113266097750194,0.7364485981308411,0,dblp-scholar
domain-simple-free (Product),0.7924068268895855,0.5975692099932478,0.4677589852008457,0.8271028037383178,0,dblp-scholar
domain-complex-force (Product),0.7408568443051202,0.5528846153846154,0.40744021257750224,0.8598130841121495,0,dblp-scholar
domain-simple-force (Product),0.7065482410309997,0.5284075006996921,0.37714742309228927,0.8822429906542056,0,dblp-scholar
domain-complex-free (Product),0.9118479579458147,0.789980732177264,0.6902356902356902,0.9234234234234234,0,dblp-acm
domain-simple-free (Product),0.8548321876263647,0.7054963084495488,0.5548387096774193,0.9684684684684685,0,dblp-acm
domain-complex-force (Product),0.7881116053376466,0.6175182481751825,0.45680345572354214,0.9527027027027027,0,dblp-acm
domain-simple-force (Product),0.7598059037606146,0.592032967032967,0.4258893280632411,0.9707207207207207,0,dblp-acm
