Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.8041866550370693,0.47607934655775963,0.3274478330658106,0.8717948717948718,0,amazon-google-full
domain-simple-free (Product),0.829917139119058,0.5125,0.3621908127208481,0.8760683760683761,0,amazon-google-full
domain-complex-force (Product),0.8233754906236371,0.5066991473812423,0.3543441226575809,0.8888888888888888,0,amazon-google-full
domain-simple-force (Product),0.8329699084169211,0.5121019108280255,0.3647912885662432,0.8589743589743589,0,amazon-google-full
domain-complex-free (Product),0.9326666666666666,0.7202216066481995,0.6689536878216124,0.78,0,wdc-fullsize
domain-simple-free (Product),0.9326666666666666,0.704390243902439,0.6876190476190476,0.722,0,wdc-fullsize
domain-complex-force (Product),0.9355555555555556,0.7253787878787878,0.6888489208633094,0.766,0,wdc-fullsize
domain-simple-force (Product),0.934,0.7062314540059347,0.6986301369863014,0.714,0,wdc-fullsize
domain-complex-free (Product),0.9483298538622129,0.7924528301886793,0.6974169741697417,0.9174757281553398,0,abt-buy-full
domain-simple-free (Product),0.9535490605427975,0.8043956043956044,0.7349397590361446,0.8883495145631068,0,abt-buy-full
domain-complex-force (Product),0.9514613778705637,0.7964989059080962,0.7250996015936255,0.883495145631068,0,abt-buy-full
domain-simple-force (Product),0.9556367432150313,0.8098434004474273,0.7510373443983402,0.8786407766990292,0,abt-buy-full
domain-complex-free (Product),0.872132747681796,0.5451388888888888,0.40992167101827676,0.8134715025906736,0,walmart-amazon
domain-simple-free (Product),0.8804294777940459,0.5569620253164557,0.42777777777777776,0.7979274611398963,0,walmart-amazon
domain-complex-force (Product),0.87701317715959,0.5418181818181819,0.4173669467787115,0.772020725388601,0,walmart-amazon
domain-simple-force (Product),0.890190336749634,0.5664739884393064,0.450920245398773,0.7616580310880829,0,walmart-amazon
domain-complex-free (Product),0.7648902821316614,0.5588235294117647,0.4296482412060301,0.7990654205607477,0,dblp-scholar
domain-simple-free (Product),0.7387669801462905,0.5404411764705882,0.40200546946216953,0.8242990654205608,0,dblp-scholar
domain-complex-force (Product),0.7748171368861024,0.5764821487061906,0.4437720625315179,0.822429906542056,0,dblp-scholar
domain-simple-force (Product),0.7749912922326715,0.5810635538261998,0.4448857994041708,0.8373831775700935,0,dblp-scholar
domain-complex-free (Product),0.7953674677812609,0.5722606479796142,0.46869409660107336,0.7345794392523365,0,dblp-scholar
domain-simple-free (Product),0.713166144200627,0.5125776857058302,0.3750541359896059,0.8093457943925234,0,dblp-scholar
domain-complex-force (Product),0.7943225357018461,0.5685056631348191,0.4667066586682663,0.7271028037383177,0,dblp-scholar
domain-simple-force (Product),0.7190874259839777,0.5016991041087426,0.3747115828334102,0.7588785046728972,0,dblp-scholar
domain-complex-free (Product),0.812778002426203,0.6157676348547718,0.48751642575558474,0.8355855855855856,0,dblp-acm
domain-simple-free (Product),0.7905378083299636,0.6081694402420574,0.45785876993166286,0.9054054054054054,0,dblp-acm
domain-complex-force (Product),0.836635665183987,0.6688524590163935,0.5257731958762887,0.918918918918919,0,dblp-acm
domain-simple-force (Product),0.8382531338455318,0.6721311475409836,0.5283505154639175,0.9234234234234234,0,dblp-acm
domain-complex-free (Product),0.864941366761019,0.6837121212121212,0.5898692810457516,0.8130630630630631,0,dblp-acm
domain-simple-free (Product),0.8427011726647796,0.6711749788672866,0.5372124492557511,0.8941441441441441,0,dblp-acm
domain-complex-force (Product),0.8378487666801455,0.6503923278116827,0.5305832147937412,0.8400900900900901,0,dblp-acm
domain-simple-force (Product),0.7885159725030327,0.5929961089494163,0.4530321046373365,0.8581081081081081,0,dblp-acm
