Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
"domain-complex-free (Product, Few-Shot)",0.8281726995202792,0.4669603524229075,0.4818181818181818,0.452991452991453,160,amazon-google-full
"domain-simple-free (Product, Few-Shot)",0.7972088966419538,0.4735099337748344,0.3864864864864865,0.6111111111111112,153,amazon-google-full
"domain-complex-force (Product, Few-Shot)",0.8351504579153947,0.4665391969407266,0.42214532871972316,0.5213675213675214,103,amazon-google-full
"domain-simple-force (Product, Few-Shot)",0.8351504579153947,0.48986486486486486,0.40502793296089384,0.6196581196581197,81,amazon-google-full
"domain-complex-free (Product, Few-Shot)",0.8562222222222222,0.5355329949238579,0.7326388888888888,0.422,302,wdc-fullsize
"domain-simple-free (Product, Few-Shot)",0.8328888888888889,0.5625,0.6098130841121495,0.522,372,wdc-fullsize
"domain-complex-force (Product, Few-Shot)",0.8815555555555555,0.5406032482598608,0.643646408839779,0.466,146,wdc-fullsize
"domain-simple-force (Product, Few-Shot)",0.8633333333333333,0.5460251046025104,0.5723684210526315,0.522,195,wdc-fullsize
"domain-complex-free (Product, Few-Shot)",0.8596033402922756,0.6826666666666666,0.757396449704142,0.6213592233009708,154,abt-buy-full
"domain-simple-free (Product, Few-Shot)",0.819937369519833,0.6460176991150443,0.5934959349593496,0.7087378640776699,193,abt-buy-full
"domain-complex-force (Product, Few-Shot)",0.8752609603340292,0.6716791979949874,0.694300518134715,0.6504854368932039,114,abt-buy-full
"domain-simple-force (Product, Few-Shot)",0.865866388308977,0.68,0.6270491803278688,0.7427184466019418,114,abt-buy-full
"domain-complex-free (Product, Few-Shot)",0.8618838457784285,0.4743276283618582,0.44907407407407407,0.5025906735751295,71,walmart-amazon
"domain-simple-free (Product, Few-Shot)",0.8306490971205466,0.4645669291338583,0.3746031746031746,0.6113989637305699,79,walmart-amazon
"domain-complex-force (Product, Few-Shot)",0.8643240605173256,0.48322147651006714,0.4251968503937008,0.5595854922279793,50,walmart-amazon
"domain-simple-force (Product, Few-Shot)",0.8433382137628112,0.48031496062992124,0.3873015873015873,0.6321243523316062,57,walmart-amazon
"domain-complex-free (Product, Few-Shot)",0.7819575060954371,0.11960132890365449,0.5373134328358209,0.06728971962616823,229,dblp-scholar
"domain-simple-free (Product, Few-Shot)",0.7939742250087077,0.2430858806404658,0.5493421052631579,0.1560747663551402,161,dblp-scholar
"domain-complex-force (Product, Few-Shot)",0.8044235458028561,0.16878980891719744,0.5698924731182796,0.09906542056074766,95,dblp-scholar
"domain-simple-force (Product, Few-Shot)",0.8096482061999304,0.26590421729807007,0.5653495440729484,0.17383177570093458,74,dblp-scholar
"domain-complex-free (Product, Few-Shot)",0.7873028710068742,0.11065573770491803,0.6136363636363636,0.060810810810810814,100,dblp-acm
"domain-simple-free (Product, Few-Shot)",0.8050950262838658,0.25622775800711745,0.6101694915254238,0.16216216216216217,73,dblp-acm
"domain-complex-force (Product, Few-Shot)",0.8135867367569753,0.15904572564612326,0.6779661016949152,0.09009009009009009,48,dblp-acm
"domain-simple-force (Product, Few-Shot)",0.8212697128993126,0.2782608695652174,0.6106870229007634,0.18018018018018017,31,dblp-acm
