Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.8286088094199738,0.49159120310478654,0.3525046382189239,0.811965811965812,0,amazon-google-full
domain-simple-free (Product),0.8281726995202792,0.506265664160401,0.35815602836879434,0.8632478632478633,0,amazon-google-full
domain-complex-force (Product),0.8281726995202792,0.4961636828644501,0.354014598540146,0.8290598290598291,0,amazon-google-full
domain-simple-force (Product),0.8425643262102049,0.5256241787122208,0.3795066413662239,0.8547008547008547,0,amazon-google-full
domain-complex-free (Product),0.9344444444444444,0.7315741583257507,0.671118530884808,0.804,0,wdc-fullsize
domain-simple-free (Product),0.9348888888888889,0.7357980162308386,0.6699507389162561,0.816,0,wdc-fullsize
domain-complex-force (Product),0.934,0.7277726856095326,0.6717428087986463,0.794,0,wdc-fullsize
domain-simple-force (Product),0.9373333333333334,0.7334593572778828,0.6953405017921147,0.776,0,wdc-fullsize
domain-complex-free (Product),0.9519832985386222,0.7991266375545851,0.7261904761904762,0.8883495145631068,0,abt-buy-full
domain-simple-free (Product),0.9572025052192067,0.8177777777777778,0.7540983606557377,0.8932038834951457,0,abt-buy-full
domain-complex-force (Product),0.954070981210856,0.8053097345132744,0.7398373983739838,0.883495145631068,0,abt-buy-full
domain-simple-force (Product),0.9665970772442589,0.8525345622119815,0.8114035087719298,0.8980582524271845,0,abt-buy-full
domain-complex-free (Product),0.8687164470473402,0.5370051635111877,0.4020618556701031,0.8082901554404145,0,walmart-amazon
domain-simple-free (Product),0.8482186432406051,0.5071315372424723,0.365296803652968,0.8290155440414507,0,walmart-amazon
domain-complex-force (Product),0.8667642752562226,0.5045372050816697,0.388268156424581,0.7202072538860104,0,walmart-amazon
domain-simple-force (Product),0.8838457784285018,0.5576208178438662,0.43478260869565216,0.7772020725388601,0,walmart-amazon
domain-complex-free (Product),0.8601532567049809,0.6672192291753004,0.5994043186895012,0.7523364485981309,0,dblp-scholar
domain-simple-free (Product),0.8399512365029607,0.6520257478227944,0.5480585614258434,0.8046728971962617,0,dblp-scholar
domain-complex-force (Product),0.8692093347265761,0.6713347921225383,0.6312757201646091,0.7168224299065421,0,dblp-scholar
domain-simple-force (Product),0.8695576454197144,0.6800512601452371,0.6262785208497246,0.7439252336448599,0,dblp-scholar
domain-complex-free (Product),0.7290142807384187,0.5091482649842272,0.3842857142857143,0.7542056074766356,0,dblp-scholar
domain-simple-free (Product),0.633402995471961,0.46776232616940583,0.32062391681109187,0.8644859813084113,0,dblp-scholar
domain-complex-force (Product),0.7164750957854407,0.5114045618247299,0.376657824933687,0.7962616822429907,0,dblp-scholar
domain-simple-force (Product),0.66597004528039,0.4925925925925926,0.34354243542435425,0.8700934579439252,0,dblp-scholar
domain-complex-free (Product),0.895673271330368,0.7152317880794702,0.7012987012987013,0.7297297297297297,0,dblp-acm
domain-simple-free (Product),0.8896077638495754,0.7261785356068204,0.6546112115732369,0.8153153153153153,0,dblp-acm
domain-complex-force (Product),0.8904164981803477,0.7156348373557188,0.6699410609037328,0.7680180180180181,0,dblp-acm
domain-simple-force (Product),0.9041649818034776,0.740983606557377,0.7197452229299363,0.7635135135135135,0,dblp-acm
domain-complex-free (Product),0.7719369187221997,0.5480769230769231,0.4253731343283582,0.7702702702702703,0,dblp-acm
domain-simple-free (Product),0.6748887990295188,0.5,0.34536082474226804,0.9054054054054054,0,dblp-acm
domain-complex-force (Product),0.7618277395875455,0.5554716981132075,0.4177071509648127,0.8288288288288288,0,dblp-acm
domain-simple-force (Product),0.713303679741205,0.5381107491856677,0.3785517873510541,0.9301801801801802,0,dblp-acm
